hour,day_of_week,is_weekend,is_festival,weather,zone_type,is_lunch_time,is_dinner_time,distance_km,estimated_time_min,app_name,expected_payout,fuel_cost,time_cost,net_profit,best_app
11,5,1,0,clear,normal,0,0,4.2,24,Swiggy,101.55,21.0,36.0,44.55,Swiggy
19,4,0,0,rain,low,0,1,14.5,33,Blinkit,220.01,72.5,49.5,98.01,Swiggy
8,5,1,0,fog,normal,0,0,6.4,26,Blinkit,104.92,32.0,39.0,33.92,Swiggy
18,1,0,0,clear,normal,0,0,5.6,21,Swiggy,103.39,28.0,31.5,43.89,Zomato
13,5,1,0,clear,busy,1,0,1.0,30,Zomato,75.56,5.0,45.0,25.56,Zomato
21,4,0,0,clear,normal,0,1,2.9,26,Zomato,92.66,14.5,39.0,39.16,Zomato
19,4,0,0,fog,busy,0,1,0.7,40,Zomato,66.88,3.5,60.0,3.38,Blinkit
17,0,0,0,clear,low,0,0,13.7,32,Blinkit,176.96,68.5,48.0,60.46,Blinkit
20,6,1,0,rain,normal,0,1,5.6,34,Swiggy,151.41,28.0,51.0,72.41,Swiggy
21,5,1,0,fog,normal,0,1,6.2,46,Blinkit,102.88,31.0,69.0,2.88,Swiggy
14,6,1,0,rain,busy,1,0,0.6,23,Zomato,105.61,3.0,34.5,68.11,Swiggy
17,4,0,0,fog,low,0,0,14.7,21,Blinkit,182.0,73.5,31.5,77.0,Blinkit
9,6,1,0,fog,low,0,0,13.3,20,Blinkit,168.02,66.5,30.0,71.52,Swiggy
19,0,0,0,fog,busy,0,1,1.2,41,Zomato,72.92,6.0,61.5,5.42,Blinkit
20,5,1,0,fog,busy,0,1,1.1,20,Zomato,71.72,5.5,30.0,36.22,Swiggy
14,1,0,0,clear,busy,1,0,1.1,33,Zomato,76.73,5.5,49.5,21.73,Zomato
20,2,0,0,fog,busy,0,1,1.6,40,Swiggy,59.44,8.0,60.0,-8.56,Blinkit
20,6,1,0,clear,normal,0,1,5.1,41,Swiggy,111.15,25.5,61.5,24.15,Swiggy
21,1,0,0,clear,normal,0,1,4.6,15,Swiggy,92.72,23.0,22.5,47.22,Zomato
20,2,0,0,fog,busy,0,1,1.5,36,Swiggy,58.41,7.5,54.0,-3.09,Blinkit
22,3,0,0,fog,normal,0,1,5.7,26,Swiggy,99.42,28.5,39.0,31.92,Zomato
8,4,0,0,fog,busy,0,0,1.0,20,Zomato,52.39,5.0,30.0,17.39,Blinkit
19,6,1,0,clear,busy,0,1,1.5,39,Swiggy,76.42,7.5,58.5,10.42,Swiggy
12,5,1,0,clear,busy,1,0,1.8,34,Zomato,84.86,9.0,51.0,24.86,Zomato
18,6,1,0,clear,normal,0,0,4.7,15,Swiggy,106.86,23.5,22.5,60.86,Swiggy
20,1,0,0,rain,normal,0,1,6.7,18,Blinkit,148.15,33.5,27.0,87.65,Swiggy
23,5,1,0,clear,busy,0,0,1.2,38,Zomato,59.8,6.0,57.0,-3.2,Blinkit
21,2,0,0,clear,normal,0,1,5.1,47,Swiggy,98.04,25.5,70.5,2.04,Zomato
23,5,1,0,clear,normal,0,0,5.6,12,Swiggy,116.32,28.0,18.0,70.32,Swiggy
22,4,0,0,fog,busy,0,1,0.7,26,Zomato,66.76,3.5,39.0,24.26,Blinkit
22,5,1,0,rain,normal,0,1,5.6,22,Swiggy,151.48,28.0,33.0,90.48,Swiggy
23,4,0,0,fog,normal,0,0,3.0,21,Zomato,70.71,15.0,31.5,24.21,Zomato
13,4,0,0,clear,normal,1,0,2.4,25,Zomato,87.25,12.0,37.5,37.75,Zomato
21,1,0,0,rain,normal,0,1,7.7,35,Blinkit,158.79,38.5,52.5,67.79,Swiggy
22,5,1,0,clear,low,0,1,14.7,30,Blinkit,186.96,73.5,45.0,68.46,Swiggy
18,1,0,0,clear,low,0,0,13.1,22,Blinkit,170.98,65.5,33.0,72.48,Blinkit
14,6,1,0,clear,normal,1,0,3.8,10,Zomato,102.25,19.0,15.0,68.25,Zomato
11,2,0,0,fog,busy,0,0,0.8,19,Zomato,50.18,4.0,28.5,17.68,Blinkit
9,4,0,0,clear,normal,0,0,6.1,11,Blinkit,106.74,30.5,16.5,59.74,Zomato
8,0,0,0,rain,normal,0,0,4.6,11,Swiggy,127.8,23.0,16.5,88.3,Swiggy
23,4,0,0,fog,busy,0,0,0.9,28,Zomato,51.32,4.5,42.0,4.82,Blinkit
17,0,0,0,clear,normal,0,0,5.0,33,Swiggy,96.95,25.0,49.5,22.45,Zomato
21,2,0,0,clear,busy,0,1,0.6,33,Zomato,70.74,3.0,49.5,18.24,Blinkit
